date,open,high,low,close,change,percent_change,source_timestamp
2025-10-07,25085.3,25220.9,25076.3,25108.3,30.6496,0.12,2025-10-07T16:56:41.617301+00:00
2025-10-08,25079.75,25192.5,25008.5,25046.15,-62.1508,-0.25,2025-10-08T14:02:04.953388+00:00
2025-10-09,25074.3,25199.25,25024.3,25181.8,135.6496,0.54,2025-10-09T14:02:03.752483+00:00
2025-10-10,25167.65,25330.75,25156.85,25285.35,103.5492,0.41,2025-10-10T14:02:00.194937+00:00
2025-10-13,25177.3,25267.3,25152.3,25227.35,-57.9996,-0.23,2025-10-13T14:02:02.374617+00:00
2025-10-14,25277.55,25310.35,25060.55,25145.5,-81.8496,-0.32,2025-10-14T14:02:16.260761+00:00
2025-10-15,25181.95,25365.15,25159.35,25323.55,178.05,0.71,2025-10-15T14:02:11.274753+00:00
2025-10-16,25394.9,25625.4,25376.85,25585.3,261.7492,1.03,2025-10-16T14:02:00.792621+00:00
2025-10-17,25546.85,25781.5,25508.6,25709.85,124.5492,0.49,2025-10-17T14:01:55.821845+00:00
2025-10-20,25824.6,25926.2,25788.5,25843.15,133.3004,0.52,2025-10-20T14:02:02.434764+00:00
2025-10-21,25901.2,25934.35,25825.8,25868.6,25.4496,0.1,2025-10-21T14:02:08.914927+00:00
